epsilon,trial,energy_seed,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end,PR_all_mean,PR_T_topK_mean,PR_D_topK_mean,delta_PR_TminusD,ratio_PR_T_over_D
0.0,0,42,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,1,1042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,2,2042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,3,3042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,4,4042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,5,5042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,6,6042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,7,7042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,8,8042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
0.0,9,9042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,15.114370149662859,3.031470505936715,4.992440756775053,-1.9609702508383378,0.6072121139991137
1.0,0,142,0.001,0.007060433785665453,0.003998510530977363,1.7657659593993598,0.011058944316642817,7.372620618098099,2.165085777805352,2.9779632836354484,-0.8128775058300963,0.7270357528257538
1.0,1,1142,0.001,0.008114074353611027,0.00800037275683249,1.0142120372662913,0.016114447110443516,7.953548478019524,2.866917544008298,3.6350748104808615,-0.7681572664725635,0.7886818548389245
