trial,T_env,recall,leakage,selectivity,t_end,p_in,p_out,epsilon,N,seed
0,0.1,0.5836355854525476,0.4059293918101473,1.4377761187726787,100.0,0.3,0.02,3.0,150,1
0,1.0,0.3093565881619707,0.5977231434278861,0.517558323721313,100.0,0.3,0.02,3.0,150,1
0,inf,0.2666666666666578,0.6666666666666446,0.39999999999999986,100.0,0.3,0.02,3.0,150,1
1,0.1,0.37548755358096675,0.5606409298747725,0.6697469513416323,100.0,0.3,0.02,3.0,150,1
1,1.0,0.31091312694347994,0.6474510028883345,0.4802110515799185,100.0,0.3,0.02,3.0,150,1
1,inf,0.2666666666666694,0.6666666666666734,0.4,100.0,0.3,0.02,3.0,150,1
2,0.1,0.6640853395889882,0.16909754571118887,3.9272322776536126,100.0,0.3,0.02,3.0,150,1
2,1.0,0.3334386726990164,0.5829382618825627,0.5719965466363403,100.0,0.3,0.02,3.0,150,1
2,inf,0.26666666666666605,0.666666666666665,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
3,0.1,0.18649407384424851,0.514264807341197,0.36264210807743674,100.0,0.3,0.02,3.0,150,1
3,1.0,0.23153054809685755,0.6598460159810275,0.35088572559255204,100.0,0.3,0.02,3.0,150,1
3,inf,0.26666666666666927,0.6666666666666732,0.4,100.0,0.3,0.02,3.0,150,1
4,0.1,0.5773273479703231,0.398895355728469,1.4473152912898641,100.0,0.3,0.02,3.0,150,1
4,1.0,0.2745996886496157,0.6131659471257047,0.44783910446566305,100.0,0.3,0.02,3.0,150,1
4,inf,0.26666666666666594,0.6666666666666647,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
5,0.1,0.6412929988347871,0.3528880017226536,1.8172706232693072,100.0,0.3,0.02,3.0,150,1
5,1.0,0.2370878518456312,0.7168889300530377,0.3307176912720506,100.0,0.3,0.02,3.0,150,1
5,inf,0.26666666666666505,0.6666666666666624,0.40000000000000013,100.0,0.3,0.02,3.0,150,1
6,0.1,0.19025652632469475,0.8097434729754402,0.23495901192705915,100.0,0.3,0.02,3.0,150,1
6,1.0,0.27241696740300536,0.7122739951945516,0.38246091987198966,100.0,0.3,0.02,3.0,150,1
6,inf,0.26666666666666056,0.6666666666666513,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
7,0.1,0.608373746978791,0.36814102495890805,1.6525562372373406,100.0,0.3,0.02,3.0,150,1
7,1.0,0.3039751453031691,0.6126593417422012,0.49615687641155365,100.0,0.3,0.02,3.0,150,1
7,inf,0.2666666666666615,0.6666666666666536,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
8,0.1,0.7925859352319935,0.20369670235876905,3.8910101442684106,100.0,0.3,0.02,3.0,150,1
8,1.0,0.3565149253759313,0.6025192291192115,0.5917071325625576,100.0,0.3,0.02,3.0,150,1
8,inf,0.2666666666666599,0.6666666666666496,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
9,0.1,0.7597252248182693,0.2362593047473431,3.2156414987791626,100.0,0.3,0.02,3.0,150,1
9,1.0,0.2994393144327913,0.6242067472558837,0.479711755358583,100.0,0.3,0.02,3.0,150,1
9,inf,0.2666666666666707,0.6666666666666768,0.39999999999999997,100.0,0.3,0.02,3.0,150,1
10,0.1,0.5878579099360814,0.35712075392730863,1.6461040235587625,100.0,0.3,0.02,3.0,150,1
10,1.0,0.21774959470264557,0.7033468999835554,0.3095906084291218,100.0,0.3,0.02,3.0,150,1
10,inf,0.2666666666666694,0.6666666666666735,0.39999999999999997,100.0,0.3,0.02,3.0,150,1
11,0.1,0.4588716447737922,0.3020087710765712,1.519398404020028,100.0,0.3,0.02,3.0,150,1
11,1.0,0.23356615396794406,0.6894604638990441,0.3387665663192321,100.0,0.3,0.02,3.0,150,1
11,inf,0.2666666666666598,0.6666666666666496,0.39999999999999986,100.0,0.3,0.02,3.0,150,1
12,0.1,0.33030835025443384,0.1432705226591056,2.3054871590045187,100.0,0.3,0.02,3.0,150,1
12,1.0,0.3214188765868067,0.6241583803060251,0.5149636482157219,100.0,0.3,0.02,3.0,150,1
12,inf,0.2666666666666615,0.6666666666666536,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
13,0.1,0.3702891086616393,0.6122500311679726,0.6048004733544053,100.0,0.3,0.02,3.0,150,1
13,1.0,0.23954564930891653,0.6963279161068993,0.3440127040262764,100.0,0.3,0.02,3.0,150,1
13,inf,0.2666666666666656,0.6666666666666639,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
14,0.1,0.13488519731608917,0.8650020329338733,0.15593627781265657,100.0,0.3,0.02,3.0,150,1
14,1.0,0.2551432311207255,0.7056164862805067,0.3615891012774571,100.0,0.3,0.02,3.0,150,1
14,inf,0.26666666666666483,0.6666666666666621,0.4,100.0,0.3,0.02,3.0,150,1
15,0.1,0.2731161918206836,0.4327724371113609,0.6310849961787317,100.0,0.3,0.02,3.0,150,1
15,1.0,0.2717386010356624,0.6157672043807089,0.44130086679259917,100.0,0.3,0.02,3.0,150,1
15,inf,0.26666666666666305,0.6666666666666576,0.4,100.0,0.3,0.02,3.0,150,1
16,0.1,0.29524810395324935,0.12156259103387568,2.42877435765558,100.0,0.3,0.02,3.0,150,1
16,1.0,0.2540201876074085,0.6335982558424285,0.4009168037712869,100.0,0.3,0.02,3.0,150,1
16,inf,0.26666666666666583,0.6666666666666645,0.4,100.0,0.3,0.02,3.0,150,1
17,0.1,0.3176670453377122,0.6812261729569985,0.4663165596806341,100.0,0.3,0.02,3.0,150,1
17,1.0,0.2571890700668946,0.6849765826881326,0.37547133225719614,100.0,0.3,0.02,3.0,150,1
17,inf,0.2666666666666654,0.6666666666666634,0.4,100.0,0.3,0.02,3.0,150,1
18,0.1,0.7159960505124662,0.28400371014931247,2.521079918765982,100.0,0.3,0.02,3.0,150,1
18,1.0,0.25230230870971826,0.7162316665742513,0.35226354891076606,100.0,0.3,0.02,3.0,150,1
18,inf,0.26666666666666267,0.6666666666666567,0.39999999999999997,100.0,0.3,0.02,3.0,150,1
19,0.1,0.620097271196113,0.35904928966629435,1.7270533295649755,100.0,0.3,0.02,3.0,150,1
19,1.0,0.2486814241203105,0.6535698856979635,0.3804970662850193,100.0,0.3,0.02,3.0,150,1
19,inf,0.2666666666666724,0.666666666666681,0.4,100.0,0.3,0.02,3.0,150,1
20,0.1,0.5785285515661083,0.25245065754709406,2.2916500087078804,100.0,0.3,0.02,3.0,150,1
