trial,epsilon,T_env,recall,leakage,selectivity,N,cluster_sizes,p_in,p_out,eps_values,t_end,n_trials,seed,bootstrap_B
0,0.0,0.1,0.2666666666666578,0.6666666666666446,0.39999999999999986,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
0,0.5,0.1,0.337457760043107,0.5724918454814184,0.5894542650809862,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
0,1.0,0.1,0.39842503537946683,0.5355038866560485,0.7440189423599333,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
0,2.0,0.1,0.48961450612174895,0.48327294874795884,1.0131221029238644,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
0,3.0,0.1,0.5836355854525476,0.4059293918101464,1.4377761187726819,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
0,4.0,0.1,0.6369688136602113,0.3594134490997222,1.7722453493482906,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
0,5.0,0.1,0.6678743905736517,0.3309456407499124,2.0180788272668266,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
0,8.0,0.1,0.6969129816783655,0.30304464270125797,2.299704015442318,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
1,0.0,0.1,0.26666666666666994,0.666666666666675,0.3999999999999999,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
1,0.5,0.1,0.3262760709704752,0.6342868577307121,0.51439828366899,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
1,1.0,0.1,0.29872838357463904,0.6597333022437364,0.45280173451707123,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
