T_env,n,recall_mean,recall_ci95,leakage_mean,leakage_ci95,selectivity_ratio_of_means,recall_frac_mean,recall_minus_leakage_mean
0.01,20,0.5673893290343442,0.08385878851926964,0.2754151086164218,0.06836503017692105,2.0601241953816083,0.6787101733627088,0.2919742204179225
0.05,20,0.5643764296478321,0.09483649177272475,0.2898137851839186,0.0768714605831547,1.9473760687045076,0.6597185985275249,0.27456264446391365
0.1,20,0.4741800603193932,0.08976949669760069,0.4088911424955781,0.0920724177137168,1.1596731037638486,0.5429546375013137,0.06528891782381516
0.2,20,0.32212467881909473,0.059870347275905185,0.5979279369565734,0.07434253090954217,0.5387349526745564,0.3553686716123269,-0.27580325813747886
0.5,20,0.2720819139307108,0.02414640887309045,0.6583309791228056,0.027568558024136627,0.41329046111918794,0.2925183002690702,-0.3862490651920948
1.0,20,0.2740313963069259,0.01684195361788194,0.6546363178214973,0.019677361548611147,0.41860096796775537,0.29517402418481725,-0.3806049215145715
2.0,20,0.27076546639828675,0.009924465202778463,0.6588804375665672,0.012259473923081328,0.4109478001779816,0.2913263092125772,-0.3881149711682806
5.0,20,0.2678150988421356,0.00412147568862325,0.6637575698722866,0.00532568689115649,0.4034833062524105,0.2875039799625974,-0.395942471030151
10.0,20,0.2670941691256393,0.0020574997580379657,0.6653272669813819,0.0026945288333089985,0.40144780227850413,0.28645676911724716,-0.3982330978557425
inf,20,0.26666666666666494,1.848974589038329e-15,0.6666666666666622,4.621979859026444e-15,0.4000000000000001,0.2857142857142857,-0.3999999999999973
