generation,p_transport,modular_cost,mass_modular,mass_global,top1_strategy,top1_mass,top2_strategy,top2_mass,top3_strategy,top3_mass
0,0.5,0.05,0.8999999999999988,0.1,"M(0.5,0.01)",0.011111111111111112,"M(0.5,0.05)",0.011111111111111112,"M(1,0.01)",0.011111111111111112
1,0.5,0.05,0.8931421225180299,0.1068578774819701,"M(0.5,0.01)",0.04506062832950527,"M(0.5,0.05)",0.04257123168347376,"M(1,0.01)",0.03824520430310554
2,0.5,0.05,0.9189052679591496,0.08109473204085017,"M(0.5,0.01)",0.10112733320739883,"M(0.5,0.05)",0.09026122631982805,"M(1,0.01)",0.07284875951726891
3,0.5,0.05,0.9507225249170804,0.049277475082919145,"M(0.5,0.01)",0.1626793669392674,"M(0.5,0.05)",0.13717549326258935,"M(1,0.01)",0.09946336970168407
4,0.5,0.05,0.9733808588273041,0.026619141172695954,"M(0.5,0.01)",0.21892115486507252,"M(0.5,0.05)",0.1743991171551944,"M(1,0.01)",0.11360862270521026
5,0.5,0.05,0.9861912757710779,0.013808724228922148,"M(0.5,0.01)",0.2682302304985935,"M(0.5,0.05)",0.2018736468665852,"M(1,0.01)",0.11815397585455713
6,0.5,0.05,0.9926962556799923,0.007303744320008239,"M(0.5,0.01)",0.3122520276287244,"M(0.5,0.05)",0.222022094830359,"M(1,0.01)",0.11675975939088395
7,0.5,0.05,0.9958312373305539,0.004168762669445838,"M(0.5,0.01)",0.35261005647114524,"M(0.5,0.05)",0.23686926359118,"M(1,0.01)",0.11193488324760908
8,0.5,0.05,0.9973016743645415,0.0026983256354584603,"M(0.5,0.01)",0.3902959934893771,"M(0.5,0.05)",0.24770541313562272,"M(1,0.01)",0.10519341528154875
9,0.5,0.05,0.9979814507709852,0.002018549229014767,"M(0.5,0.01)",0.42582012356090687,"M(0.5,0.05)",0.2553286052762664,"M(1,0.01)",0.09745208764389539
10,0.5,0.05,0.9982937557713308,0.0017062442286693033,"M(0.5,0.01)",0.4594170978800975,"M(0.5,0.05)",0.2602657588169199,"M(1,0.01)",0.08928864612972996
11,0.5,0.05,0.9984375136861964,0.001562486313803749,"M(0.5,0.01)",0.49118396042182755,"M(0.5,0.05)",0.2629030237762177,"M(1,0.01)",0.08108097311718251
12,0.5,0.05,0.9985045674923536,0.0014954325076460477,"M(0.5,0.01)",0.5211596548690245,"M(0.5,0.05)",0.26355357689317715,"M(1,0.01)",0.07308060841129912
13,0.5,0.05,0.9985368181142046,0.0014631818857950955,"M(0.5,0.01)",0.5493677690330832,"M(0.5,0.05)",0.2624904590865585,"M(1,0.01)",0.0654535121069671
14,0.5,0.05,0.9985532260734291,0.0014467739265704084,"M(0.5,0.01)",0.575837688450641,"M(0.5,0.05)",0.2599611679574698,"M(1,0.01)",0.05830460720454033
15,0.5,0.05,0.9985623279960087,0.0014376720039915472,"M(0.5,0.01)",0.6006132997445367,"M(0.5,0.05)",0.25619318582376704,"M(1,0.01)",0.051694013479788366
16,0.5,0.05,0.9985679619562148,0.0014320380437853485,"M(0.5,0.01)",0.6237547065302171,"M(0.5,0.05)",0.2513953720727008,"M(1,0.01)",0.045648714010062784
17,0.5,0.05,0.9985718605145988,0.0014281394854008954,"M(0.5,0.01)",0.6453362848086601,"M(0.5,0.05)",0.24575781304838626,"M(1,0.01)",0.040171430453141546
18,0.5,0.05,0.99857481607928,0.0014251839207198047,"M(0.5,0.01)",0.6654431136193155,"M(0.5,0.05)",0.23945142387554574,"M(1,0.01)",0.03524757220635092
19,0.5,0.05,0.9985772014858381,0.0014227985141619373,"M(0.5,0.01)",0.6841669948943718,"M(0.5,0.05)",0.23262787133367777,"M(1,0.01)",0.030850713703713426
20,0.5,0.05,0.9985792015030929,0.0014207984969067233,"M(0.5,0.01)",0.7016027392318076,"M(0.5,0.05)",0.22541999237316512,"M(1,0.01)",0.026946876131629587
21,0.5,0.05,0.9985809155060681,0.001419084493931646,"M(0.5,0.01)",0.717845045568518,"M(0.5,0.05)",0.2179426835551361,"M(1,0.01)",0.02349781528976482
22,0.5,0.05,0.9985824030039508,0.0014175969960489752,"M(0.5,0.01)",0.7329860847667599,"M(0.5,0.05)",0.21029415146184216,"M(1,0.01)",0.020463484509148908
23,0.5,0.05,0.9985837039122795,0.00141629608772034,"M(0.5,0.01)",0.7471137700573551,"M(0.5,0.05)",0.20255739249356441,"M(1,0.01)",0.017803822648916834
24,0.5,0.05,0.998584847688518,0.001415152311481983,"M(0.5,0.01)",0.760310631581162,"M(0.5,0.05)",0.19480178108338517,"M(1,0.01)",0.015480001096730847
25,0.5,0.05,0.9985858575584987,0.0014141424415011858,"M(0.5,0.01)",0.7726531859697346,"M(0.5,0.05)",0.18708466940994614,"M(1,0.01)",0.013455247046806064
26,0.5,0.05,0.998586752572066,0.0014132474279341604,"M(0.5,0.01)",0.7842116891739682,"M(0.5,0.05)",0.1794529286074806,"M(1,0.01)",0.011695342998405649
27,0.5,0.05,0.9985875486892805,0.0014124513107199262,"M(0.5,0.01)",0.795050170708172,"M(0.5,0.05)",0.17194438595066316,"M(1,0.01)",0.010168885291485451
28,0.5,0.05,0.9985882594236543,0.0014117405763458333,"M(0.5,0.01)",0.8052266630713261,"M(0.5,0.05)",0.16458913238140443,"M(1,0.01)",0.008847368503464749
29,0.5,0.05,0.9985888962733601,0.0014111037266397349,"M(0.5,0.01)",0.8147935570680065,"M(0.5,0.05)",0.15741068965951818,"M(1,0.01)",0.007705148309513314
30,0.5,0.05,0.9985894690423137,0.0014105309576861267,"M(0.5,0.01)",0.8237980297252947,"M(0.5,0.05)",0.15042703684321915,"M(1,0.01)",0.006719323260850267
31,0.5,0.05,0.9985899860968486,0.0014100139031514886,"M(0.5,0.01)",0.832282505376828,"M(0.5,0.05)",0.14365150256206222,"M(1,0.01)",0.005869565896256498
32,0.5,0.05,0.9985904545792955,0.001409545420704119,"M(0.5,0.01)",0.8402851219020072,"M(0.5,0.05)",0.13709353350676592,"M(1,0.01)",0.005137925530876946
