strategy,class,noise_transport,noise_memory
G(0.01),global,0.01,0.01
G(0.05),global,0.05,0.05
G(0.1),global,0.1,0.1
G(0.2),global,0.2,0.2
G(0.5),global,0.5,0.5
G(1),global,1.0,1.0
G(2),global,2.0,2.0
G(5),global,5.0,5.0
G(10),global,10.0,10.0
"M(0.01,0.01)",modular,0.01,0.01
"M(0.01,0.05)",modular,0.01,0.05
"M(0.01,0.1)",modular,0.01,0.1
"M(0.01,0.2)",modular,0.01,0.2
"M(0.01,0.5)",modular,0.01,0.5
"M(0.01,1)",modular,0.01,1.0
"M(0.01,2)",modular,0.01,2.0
"M(0.01,5)",modular,0.01,5.0
"M(0.01,10)",modular,0.01,10.0
"M(0.05,0.01)",modular,0.05,0.01
"M(0.05,0.05)",modular,0.05,0.05
"M(0.05,0.1)",modular,0.05,0.1
"M(0.05,0.2)",modular,0.05,0.2
"M(0.05,0.5)",modular,0.05,0.5
"M(0.05,1)",modular,0.05,1.0
"M(0.05,2)",modular,0.05,2.0
"M(0.05,5)",modular,0.05,5.0
"M(0.05,10)",modular,0.05,10.0
"M(0.1,0.01)",modular,0.1,0.01
"M(0.1,0.05)",modular,0.1,0.05
"M(0.1,0.1)",modular,0.1,0.1
"M(0.1,0.2)",modular,0.1,0.2
"M(0.1,0.5)",modular,0.1,0.5
"M(0.1,1)",modular,0.1,1.0
"M(0.1,2)",modular,0.1,2.0
"M(0.1,5)",modular,0.1,5.0
"M(0.1,10)",modular,0.1,10.0
"M(0.2,0.01)",modular,0.2,0.01
"M(0.2,0.05)",modular,0.2,0.05
"M(0.2,0.1)",modular,0.2,0.1
"M(0.2,0.2)",modular,0.2,0.2
"M(0.2,0.5)",modular,0.2,0.5
"M(0.2,1)",modular,0.2,1.0
"M(0.2,2)",modular,0.2,2.0
"M(0.2,5)",modular,0.2,5.0
"M(0.2,10)",modular,0.2,10.0
"M(0.5,0.01)",modular,0.5,0.01
"M(0.5,0.05)",modular,0.5,0.05
"M(0.5,0.1)",modular,0.5,0.1
"M(0.5,0.2)",modular,0.5,0.2
"M(0.5,0.5)",modular,0.5,0.5
"M(0.5,1)",modular,0.5,1.0
"M(0.5,2)",modular,0.5,2.0
"M(0.5,5)",modular,0.5,5.0
"M(0.5,10)",modular,0.5,10.0
"M(1,0.01)",modular,1.0,0.01
"M(1,0.05)",modular,1.0,0.05
"M(1,0.1)",modular,1.0,0.1
"M(1,0.2)",modular,1.0,0.2
"M(1,0.5)",modular,1.0,0.5
"M(1,1)",modular,1.0,1.0
"M(1,2)",modular,1.0,2.0
"M(1,5)",modular,1.0,5.0
"M(1,10)",modular,1.0,10.0
"M(2,0.01)",modular,2.0,0.01
"M(2,0.05)",modular,2.0,0.05
"M(2,0.1)",modular,2.0,0.1
"M(2,0.2)",modular,2.0,0.2
"M(2,0.5)",modular,2.0,0.5
"M(2,1)",modular,2.0,1.0
"M(2,2)",modular,2.0,2.0
"M(2,5)",modular,2.0,5.0
"M(2,10)",modular,2.0,10.0
"M(5,0.01)",modular,5.0,0.01
"M(5,0.05)",modular,5.0,0.05
"M(5,0.1)",modular,5.0,0.1
"M(5,0.2)",modular,5.0,0.2
"M(5,0.5)",modular,5.0,0.5
"M(5,1)",modular,5.0,1.0
"M(5,2)",modular,5.0,2.0
"M(5,5)",modular,5.0,5.0
"M(5,10)",modular,5.0,10.0
"M(10,0.01)",modular,10.0,0.01
"M(10,0.05)",modular,10.0,0.05
"M(10,0.1)",modular,10.0,0.1
"M(10,0.2)",modular,10.0,0.2
"M(10,0.5)",modular,10.0,0.5
"M(10,1)",modular,10.0,1.0
"M(10,2)",modular,10.0,2.0
"M(10,5)",modular,10.0,5.0
"M(10,10)",modular,10.0,10.0
