variant,epsilon,y,y_low,y_high,n_candidates,n_pix
lesion_KC_MBON,0,1.2111921071008362,1.190429790787062,1.23195442341461,1,82
lesion_KC_MBON,1,1.3150036886697065,1.2859364458304228,1.3440709315089903,1,137
lesion_KC_MBON,2,1.4437300498151058,1.3855955641365383,1.4977120722309185,1,271
lesion_KC_MBON,3,1.6139810435880535,1.5599990211722408,1.6762679925293757,1,313
lesion_KC_MBON,5,1.2070396438380815,1.148905158159514,1.256869202991139,1,295
original,0,1.1696674744732878,1.1364477683712493,1.2028871805753263,1,232
original,1,1.3606807845600097,1.2361068866773648,1.4727972926543895,1,401
original,2,1.572456410960505,1.3939004906620482,1.7302500149451885,1,483
original,3,2.643791932751248,1.8091468169375298,3.490894438353231,1,1859
original,5,1.7593172577844718,1.4977120722309185,2.012617516812516,1,699
rewired_type,0,1.0533985031161532,0.9703492378610568,1.1364477683712493,1,336
rewired_type,1,0.991111554174831,0.9039098256569797,1.074160819429927,1,370
rewired_type,2,1.0284837235396243,0.957891848072792,1.099075599006456,1,337
rewired_type,3,0.941281995021773,0.8789950460804508,0.9994164807003405,1,318
rewired_type,5,0.9869590909120758,0.9246721419707535,1.0533985031161532,1,316
