variant,epsilon,y,y_low,y_high,n_candidates,n_pix
lesion_KC_MBON,0,1.4753869667235207,1.4047582625388402,1.5524364621977178,1,384
lesion_KC_MBON,1,1.4775272304866929,1.4090387900651846,1.5010701318815864,1,362
lesion_KC_MBON,2,1.5374546158555127,1.4518440653286273,1.6252054301455705,1,464
lesion_KC_MBON,3,1.6038027925138492,1.5117714506974471,1.695834134330251,1,543
lesion_KC_MBON,5,1.7001146618565954,1.6080833200401934,1.7921460036729973,1,525
original,0,1.5203325057501358,1.5032103956447584,1.5374546158555127,1,231
original,1,1.5631377810135785,1.5053506594079307,1.633766485198259,1,433
original,2,1.6744314966985296,1.5973820012243327,1.7108159806724559,1,416
original,3,1.9398242033318749,1.7193770357251446,2.160271370938605,1,1035
original,5,1.9655073684899405,1.7964265311993417,2.1367284695437117,1,830
rewired_type,0,0.8975157506670433,0.8354481015350512,0.9595833997990353,1,418
rewired_type,1,0.8846741680880106,0.8226065189560186,0.9446015534568304,1,429
rewired_type,2,0.8803936405616661,0.8204662551928463,0.9381807621673139,1,421
rewired_type,3,0.8782533767984941,0.8140454639033299,0.9403210259304862,1,437
rewired_type,5,0.9146378607724204,0.8461494203509121,0.9852665649571011,1,452
